Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Ireland,IRL,Control of Corruption: Estimate,CC.EST,1.494599
Israel,ISR,Control of Corruption: Estimate,CC.EST,0.8063501
Italy,ITA,Control of Corruption: Estimate,CC.EST,0.2645699
Jamaica,JAM,Control of Corruption: Estimate,CC.EST,-0.0727176
Japan,JPN,Control of Corruption: Estimate,CC.EST,1.4672
"Jersey, Channel Islands",JEY,Control of Corruption: Estimate,CC.EST,1.044043
Jordan,JOR,Control of Corruption: Estimate,CC.EST,0.1082933
Kazakhstan,KAZ,Control of Corruption: Estimate,CC.EST,-0.30519
Kenya,KEN,Control of Corruption: Estimate,CC.EST,-0.7865493
Kiribati,KIR,Control of Corruption: Estimate,CC.EST,0.3708637
"Korea, Dem. People's Rep.",PRK,Control of Corruption: Estimate,CC.EST,-1.58845
"Korea, Rep.",KOR,Control of Corruption: Estimate,CC.EST,0.7374385
Kosovo,XKX,Control of Corruption: Estimate,CC.EST,-0.5264361
Kuwait,KWT,Control of Corruption: Estimate,CC.EST,-0.1321924
Kyrgyz Republic,KGZ,Control of Corruption: Estimate,CC.EST,-0.9495352
Lao PDR,LAO,Control of Corruption: Estimate,CC.EST,-1.05815
Latvia,LVA,Control of Corruption: Estimate,CC.EST,0.5117261
Lebanon,LBN,Control of Corruption: Estimate,CC.EST,-1.13634
Lesotho,LSO,Control of Corruption: Estimate,CC.EST,-0.048972
Liberia,LBR,Control of Corruption: Estimate,CC.EST,-0.8906205
Libya,LBY,Control of Corruption: Estimate,CC.EST,-1.602725
Liechtenstein,LIE,Control of Corruption: Estimate,CC.EST,1.968458
Lithuania,LTU,Control of Corruption: Estimate,CC.EST,0.6983815
Luxembourg,LUX,Control of Corruption: Estimate,CC.EST,2.112312
"Macao SAR, China",MAC,Control of Corruption: Estimate,CC.EST,0.7046384
Madagascar,MDG,Control of Corruption: Estimate,CC.EST,-1.01278
Malawi,MWI,Control of Corruption: Estimate,CC.EST,-0.7845694
Malaysia,MYS,Control of Corruption: Estimate,CC.EST,0.2520592
Maldives,MDV,Control of Corruption: Estimate,CC.EST,-0.2628275
Mali,MLI,Control of Corruption: Estimate,CC.EST,-0.6989095
Malta,MLT,Control of Corruption: Estimate,CC.EST,0.2399035
Marshall Islands,MHL,Control of Corruption: Estimate,CC.EST,-0.0471655
Martinique,MTQ,Control of Corruption: Estimate,CC.EST,1.234696
Mauritania,MRT,Control of Corruption: Estimate,CC.EST,-0.861761
Mauritius,MUS,Control of Corruption: Estimate,CC.EST,0.2955124
Mexico,MEX,Control of Corruption: Estimate,CC.EST,-0.8269345
"Micronesia, Fed. Sts.",FSM,Control of Corruption: Estimate,CC.EST,0.7507071
Moldova,MDA,Control of Corruption: Estimate,CC.EST,-0.6431275
Monaco,MCO,Control of Corruption: Estimate,CC.EST,..
Mongolia,MNG,Control of Corruption: Estimate,CC.EST,-0.4290292
Montenegro,MNE,Control of Corruption: Estimate,CC.EST,0.008084
Morocco,MAR,Control of Corruption: Estimate,CC.EST,-0.2890898
Mozambique,MOZ,Control of Corruption: Estimate,CC.EST,-0.8072244
Myanmar,MMR,Control of Corruption: Estimate,CC.EST,-0.614939
Namibia,NAM,Control of Corruption: Estimate,CC.EST,0.3551571
Nauru,NRU,Control of Corruption: Estimate,CC.EST,-0.4486384
Nepal,NPL,Control of Corruption: Estimate,CC.EST,-0.6739821
Netherlands,NLD,Control of Corruption: Estimate,CC.EST,1.906103
Netherlands Antilles,ANT,Control of Corruption: Estimate,CC.EST,..
New Zealand,NZL,Control of Corruption: Estimate,CC.EST,2.170174
Nicaragua,NIC,Control of Corruption: Estimate,CC.EST,-1.096854
Niger,NER,Control of Corruption: Estimate,CC.EST,-0.5629889
Nigeria,NGA,Control of Corruption: Estimate,CC.EST,-1.101318
Niue,NIU,Control of Corruption: Estimate,CC.EST,..
North Macedonia,MKD,Control of Corruption: Estimate,CC.EST,-0.388858
Norway,NOR,Control of Corruption: Estimate,CC.EST,2.073593
Oman,OMN,Control of Corruption: Estimate,CC.EST,0.4526003
Pakistan,PAK,Control of Corruption: Estimate,CC.EST,-0.8666273
Palau,PLW,Control of Corruption: Estimate,CC.EST,-0.4486384
Panama,PAN,Control of Corruption: Estimate,CC.EST,-0.5822327
Papua New Guinea,PNG,Control of Corruption: Estimate,CC.EST,-0.9914853
Paraguay,PRY,Control of Corruption: Estimate,CC.EST,-0.8308774
Peru,PER,Control of Corruption: Estimate,CC.EST,-0.4528491
Philippines,PHL,Control of Corruption: Estimate,CC.EST,-0.5730505
Poland,POL,Control of Corruption: Estimate,CC.EST,0.6421292
Portugal,PRT,Control of Corruption: Estimate,CC.EST,0.7784246
Puerto Rico,PRI,Control of Corruption: Estimate,CC.EST,0.0136583
Qatar,QAT,Control of Corruption: Estimate,CC.EST,0.8493823
Reunion,REU,Control of Corruption: Estimate,CC.EST,0.6253356
Romania,ROU,Control of Corruption: Estimate,CC.EST,-0.1613596
Russian Federation,RUS,Control of Corruption: Estimate,CC.EST,-0.8100985
Rwanda,RWA,Control of Corruption: Estimate,CC.EST,0.5647855
Samoa,WSM,Control of Corruption: Estimate,CC.EST,0.6398521
San Marino,SMR,Control of Corruption: Estimate,CC.EST,..
Sao Tome and Principe,STP,Control of Corruption: Estimate,CC.EST,0.1965523
Saudi Arabia,SAU,Control of Corruption: Estimate,CC.EST,0.2751487
Senegal,SEN,Control of Corruption: Estimate,CC.EST,0.0387791
Serbia,SRB,Control of Corruption: Estimate,CC.EST,-0.389201
Seychelles,SYC,Control of Corruption: Estimate,CC.EST,0.9700111
Sierra Leone,SLE,Control of Corruption: Estimate,CC.EST,-0.4321528
Singapore,SGP,Control of Corruption: Estimate,CC.EST,2.159583
Slovak Republic,SVK,Control of Corruption: Estimate,CC.EST,0.2180149
Slovenia,SVN,Control of Corruption: Estimate,CC.EST,0.9221385
Solomon Islands,SLB,Control of Corruption: Estimate,CC.EST,-0.0071937
Somalia,SOM,Control of Corruption: Estimate,CC.EST,-1.709903
South Africa,ZAF,Control of Corruption: Estimate,CC.EST,0.0729309
South Sudan,SSD,Control of Corruption: Estimate,CC.EST,-1.773469
Spain,ESP,Control of Corruption: Estimate,CC.EST,0.6989556
Sri Lanka,LKA,Control of Corruption: Estimate,CC.EST,-0.2891587
St. Kitts and Nevis,KNA,Control of Corruption: Estimate,CC.EST,0.3855519
St. Lucia,LCA,Control of Corruption: Estimate,CC.EST,0.5235761
St. Vincent and the Grenadines,VCT,Control of Corruption: Estimate,CC.EST,0.7815572
Sudan,SDN,Control of Corruption: Estimate,CC.EST,-1.365432
Suriname,SUR,Control of Corruption: Estimate,CC.EST,-0.392585
Sweden,SWE,Control of Corruption: Estimate,CC.EST,2.13129
Switzerland,CHE,Control of Corruption: Estimate,CC.EST,1.983491
Syrian Arab Republic,SYR,Control of Corruption: Estimate,CC.EST,-1.687623
"Taiwan, China",TWN,Control of Corruption: Estimate,CC.EST,1.052174
Tajikistan,TJK,Control of Corruption: Estimate,CC.EST,-1.320806
Tanzania,TZA,Control of Corruption: Estimate,CC.EST,-0.4008237
Thailand,THA,Control of Corruption: Estimate,CC.EST,-0.4113744
Timor-Leste,TLS,Control of Corruption: Estimate,CC.EST,-0.3830416
Togo,TGO,Control of Corruption: Estimate,CC.EST,-0.7546404
Tonga,TON,Control of Corruption: Estimate,CC.EST,-0.3470466
Trinidad and Tobago,TTO,Control of Corruption: Estimate,CC.EST,-0.2034451
Tunisia,TUN,Control of Corruption: Estimate,CC.EST,-0.0855062
Turkey,TUR,Control of Corruption: Estimate,CC.EST,-0.3082614
Turkmenistan,TKM,Control of Corruption: Estimate,CC.EST,-1.510924
Tuvalu,TUV,Control of Corruption: Estimate,CC.EST,0.4090157
Uganda,UGA,Control of Corruption: Estimate,CC.EST,-1.169366
Ukraine,UKR,Control of Corruption: Estimate,CC.EST,-0.7559236
United Arab Emirates,ARE,Control of Corruption: Estimate,CC.EST,1.106673
United Kingdom,GBR,Control of Corruption: Estimate,CC.EST,1.785975
United States,USA,Control of Corruption: Estimate,CC.EST,1.215634
Uruguay,URY,Control of Corruption: Estimate,CC.EST,1.250806
Uzbekistan,UZB,Control of Corruption: Estimate,CC.EST,-1.025923
Vanuatu,VUT,Control of Corruption: Estimate,CC.EST,-0.2589588
"Venezuela, RB",VEN,Control of Corruption: Estimate,CC.EST,-1.486213
Vietnam,VNM,Control of Corruption: Estimate,CC.EST,-0.5156115
Virgin Islands (U.S.),VIR,Control of Corruption: Estimate,CC.EST,0.6253356
West Bank and Gaza,PSE,Control of Corruption: Estimate,CC.EST,-0.325643
"Yemen, Rep.",YEM,Control of Corruption: Estimate,CC.EST,-1.680965
Zambia,ZMB,Control of Corruption: Estimate,CC.EST,-0.6445261
Zimbabwe,ZWE,Control of Corruption: Estimate,CC.EST,-1.236825
