iso_code,trust_in_governance
AUS,46.8700014928596
AUT,51.2338260131346
BEL,32.7901154348457
CAN,54.9280966328576
DNK,63.2999031726247
FIN,63.9188147034124
FRA,38.1849235823193
DEU,56.8460427456982
GRC,39.6424619237357
HUN,48.3934186398412
ISL,52.1377060493115
IRL,58.1215976215141
ITA,22.1925858303397
JPN,41.1213650479192
KOR,37.6757588549017
LUX,78.0171007884326
MEX,49.5231159478194
NLD,61.6572239633327
NZL,67.5200840959097
NOR,59.7987006273954
POL,49.7986028419138
PRT,43.5605003837812
SVK,23.097283281603
ESP,36.7785864601752
SWE,51.3281754260437
CHE,80.6612709030345
TUR,56.1260907192075
GBR,34.0828862506267
USA,36.277444009879
BRA,34.0850087334004
CHL,15.2523450266274
COL,32.7981098741416
CRI,28.3023851778735
EST,40.3306536840262
ISR,49.5666912173238
LVA,23.9407668132642
LTU,40.7248459410706
SVN,39.7150714930083
ZAF,49.5906319870362
