location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,3,5813302.0,136.52,42.3,46682.515,95347.0,409.0,21933063.0,5890.0,4423522.0
Denmark,DNK,2.161119,87,1.910211,5316.577,32903000.0,3,63.2999031726247,1,4,5813302.0,136.52,42.3,46682.515,229827.0,457.0,9842697.0,2831.0,1336817.0
Estonia,EST,1.561715,74,1.174428,2365.786,6103000.0,3,40.3306536840262,2,1,1325188.0,31.033,42.7,29481.252,1989.0,69.0,124996.0,646.0,0.0
Estonia,EST,1.561715,74,1.174428,2365.786,6103000.0,3,40.3306536840262,2,2,1325188.0,31.033,42.7,29481.252,25615.0,165.0,462987.0,1547.0,2284.0
Estonia,EST,1.561715,74,1.174428,2365.786,6103000.0,3,40.3306536840262,2,3,1325188.0,31.033,42.7,29481.252,86856.0,850.0,747184.0,6116.0,916799.0
Estonia,EST,1.561715,74,1.174428,2365.786,6103000.0,3,40.3306536840262,2,4,1325188.0,31.033,42.7,29481.252,87258.0,576.0,651734.0,3215.0,228285.0
Finland,FIN,2.1532,86,2.006594,4378.651,3290000.0,3,63.9188147034124,2,1,5548361.0,18.136,42.8,40585.721,7213.0,328.0,256830.0,3367.0,0.0
Finland,FIN,2.1532,86,2.006594,4378.651,3290000.0,3,63.9188147034124,2,2,5548361.0,18.136,42.8,40585.721,28021.0,225.0,1772437.0,858.0,0.0
Finland,FIN,2.1532,86,2.006594,4378.651,3290000.0,3,63.9188147034124,2,3,5548361.0,18.136,42.8,40585.721,50504.0,298.0,2602051.0,2907.0,0.0
Finland,FIN,2.1532,86,2.006594,4378.651,3290000.0,3,63.9188147034124,2,4,5548361.0,18.136,42.8,40585.721,79851.0,415.0,1525282.0,2999.0,0.0
France,FRA,1.283251,69,1.37214,5136.2,,3,38.1849235823193,4,1,67564251.0,122.578,42.0,38605.671,203390.0,29846.0,1763425.0,311601.0,0.0
France,FRA,1.283251,69,1.37214,5136.2,,3,38.1849235823193,4,2,67564251.0,122.578,42.0,38605.671,2402621.0,34112.0,28628250.0,306721.0,1537.0
France,FRA,1.283251,69,1.37214,5136.2,,3,38.1849235823193,4,3,67564251.0,122.578,42.0,38605.671,2930249.0,35059.0,49305394.0,588494.0,53242863.0
France,FRA,1.283251,69,1.37214,5136.2,,3,38.1849235823193,4,4,67564251.0,122.578,42.0,38605.671,1603338.0,6891.0,46961076.0,164017.0,25225955.0
Germany,DEU,1.903284,80,1.531162,6291.041,39563000.0,3,56.8460427456982,2,1,83900471.0,237.016,46.6,45229.245,195413.0,8990.0,0.0,140711.0,0.0
Germany,DEU,1.903284,80,1.531162,6291.041,39563000.0,3,56.8460427456982,2,2,83900471.0,237.016,46.6,45229.245,1502127.0,24488.0,0.0,280782.0,183001.0
Germany,DEU,1.903284,80,1.531162,6291.041,39563000.0,3,56.8460427456982,2,3,83900471.0,237.016,46.6,45229.245,1510546.0,33782.0,0.0,488654.0,73128721.0
Germany,DEU,1.903284,80,1.531162,6291.041,39563000.0,3,56.8460427456982,2,4,83900471.0,237.016,46.6,45229.245,2667985.0,14456.0,0.0,254430.0,34356740.0
